"dam","fosternest","tarsus","weight","mean_weight","mean_ratio"
"551","R187964","F1502",15.22,9.9,10.0444444444444,1.0260560600079
"552","R187531","F1702",13.86,9,10.0545454545455,1.02708789434016
"553","R187531","F1702",14.24,9.8,10.0545454545455,1.02708789434016
"554","R187531","F1702",15.45,10.4,10.0545454545455,1.02708789434016
"555","R187531","F1702",14.99,10,10.0545454545455,1.02708789434016
"556","R187531","F1702",14.31,9.8,10.0545454545455,1.02708789434016
"557","R187030","F1702",15.45,10.6,10.0545454545455,1.02708789434016
"558","R187030","F1702",15.14,10.3,10.0545454545455,1.02708789434016
"559","R187030","F1702",15.45,10.3,10.0545454545455,1.02708789434016
"560","R187030","F1702",14.99,10.2,10.0545454545455,1.02708789434016
"561","R187030","F1702",15.22,10.3,10.0545454545455,1.02708789434016
"562","R187030","F1702",14.61,9.9,10.0545454545455,1.02708789434016
"563","R187559","F1902",15.07,10.5,9.77272727272727,0.99829971646987
"564","R187559","F1902",13.93,9.6,9.77272727272727,0.99829971646987
"565","R187559","F1902",14.61,9.8,9.77272727272727,0.99829971646987
"566","R187559","F1902",15.3,10.3,9.77272727272727,0.99829971646987
"567","R187559","F1902",14.69,9.7,9.77272727272727,0.99829971646987
"568","R187559","F1902",15.37,10.3,9.77272727272727,0.99829971646987
"569","R187557","F1902",13.63,9.2,9.77272727272727,0.99829971646987
"570","R187557","F1902",14.69,10.1,9.77272727272727,0.99829971646987
"571","R187557","F1902",13.25,8.9,9.77272727272727,0.99829971646987
"572","R187557","F1902",13.93,9.6,9.77272727272727,0.99829971646987
"573","R187557","F1902",14.31,9.5,9.77272727272727,0.99829971646987
"574","Fem5","F202",14.39,9.6,9.86,1.00721476510067
"575","Fem5","F202",14.61,9.8,9.86,1.00721476510067
"576","Fem5","F202",14.99,9.8,9.86,1.00721476510067
"577","Fem5","F202",15.14,10.2,9.86,1.00721476510067
"578","R187941","F202",14.61,10.1,9.86,1.00721476510067
"579","R187941","F202",14.99,9.7,9.86,1.00721476510067
"580","R187941","F202",14.54,9.7,9.86,1.00721476510067
"581","R187941","F202",14.61,9.9,9.86,1.00721476510067
"582","R187941","F202",14.69,9.6,9.86,1.00721476510067
"583","R187941","F202",15.07,10.2,9.86,1.00721476510067
"584","R187557","F2102",13.55,8.9,9.63333333333333,0.984060402684564
"585","R187557","F2102",14.08,9.2,9.63333333333333,0.984060402684564
"586","R187557","F2102",13.71,9.3,9.63333333333333,0.984060402684564
"587","R187557","F2102",14.16,9.7,9.63333333333333,0.984060402684564
"588","R187557","F2102",13.4,9.1,9.63333333333333,0.984060402684564
"589","R187557","F2102",13.78,9.1,9.63333333333333,0.984060402684564
"590","R187559","F2102",15.07,10.1,9.63333333333333,0.984060402684564
"591","R187559","F2102",14.99,10.1,9.63333333333333,0.984060402684564
"592","R187559","F2102",15.07,10.3,9.63333333333333,0.984060402684564
"593","R187559","F2102",14.77,10.3,9.63333333333333,0.984060402684564
"594","R187559","F2102",14.54,9.6,9.63333333333333,0.984060402684564
"595","R187559","F2102",14.77,9.9,9.63333333333333,0.984060402684564
"596","R187588","F2402",13.4,8.9,9.92222222222222,1.01357086458745
"597","R187588","F2402",14.46,9.7,9.92222222222222,1.01357086458745
"598","R187588","F2402",14.39,9.9,9.92222222222222,1.01357086458745
"599","R187588","F2402",14.77,9.9,9.92222222222222,1.01357086458745
"600","R187588","F2402",14.61,9.9,9.92222222222222,1.01357086458745
"601","R187155","F2402",15.07,9.9,9.92222222222222,1.01357086458745
"602","R187155","F2402",15.3,10.3,9.92222222222222,1.01357086458745
"603","R187155","F2402",14.54,9.6,9.92222222222222,1.01357086458745
"604","R187155","F2402",15.6,11.2,9.92222222222222,1.01357086458745
"605","R187951","F2502",14.92,9.6,9.67,0.987805961310699
"606","R187951","F2502",14.84,10,9.67,0.987805961310699
"607","R187951","F2502",14.61,9.7,9.67,0.987805961310699
"608","R187951","F2502",13.93,9.2,9.67,0.987805961310699
"609","R187951","F2502",14.31,9.8,9.67,0.987805961310699
"610","R187951","F2502",14.54,9.6,9.67,0.987805961310699
"611","R187951","F2502",14.39,9.2,9.67,0.987805961310699
"612","R187951","F2502",14.77,9.9,9.67,0.987805961310699
"613","R187951","F2502",14.61,9.8,9.67,0.987805961310699
"614","R187951","F2502",14.46,9.9,9.67,0.987805961310699
"615","R187948","F2702",14.92,10.2,9.82,1.00312870114489
"616","R187948","F2702",14.92,9.7,9.82,1.00312870114489
"617","R188000","F2702",13.86,9.3,9.82,1.00312870114489
"618","R188000","F2702",14.46,10.1,9.82,1.00312870114489
"619","R188000","F2702",14.61,9.8,9.82,1.00312870114489
"620","R187575","F902",15.22,10.4,9.72727272727273,0.993656461974662
"621","R187575","F902",13.93,9.4,9.72727272727273,0.993656461974662
"622","R187575","F902",13.93,9.2,9.72727272727273,0.993656461974662
"623","R187575","F902",13.86,9.2,9.72727272727273,0.993656461974662
"624","R187575","F902",13.86,9.2,9.72727272727273,0.993656461974662
"625","R187592","F902",14.77,10,9.72727272727273,0.993656461974662
"626","R187592","F902",15.3,10.7,9.72727272727273,0.993656461974662
"627","R187592","F902",14.46,9.8,9.72727272727273,0.993656461974662
"628","R187592","F902",15.07,9.8,9.72727272727273,0.993656461974662
"629","R187592","F902",13.93,9.2,9.72727272727273,0.993656461974662
"630","R187592","F902",14.69,10.1,9.72727272727273,0.993656461974662
"631","R187535","G102",14.31,9.7,9.74545454545455,0.995513763772745
"632","R187535","G102",14.39,9.9,9.74545454545455,0.995513763772745
"633","R187535","G102",14.01,9.4,9.74545454545455,0.995513763772745
"634","R187535","G102",14.61,9.8,9.74545454545455,0.995513763772745
"635","R187535","G102",14.46,9.8,9.74545454545455,0.995513763772745
"636","R187086","G102",14.84,10.1,9.74545454545455,0.995513763772745
"637","R187086","G102",14.61,10.1,9.74545454545455,0.995513763772745
"638","R187086","G102",14.16,9.3,9.74545454545455,0.995513763772745
"639","R187086","G102",14.77,10.1,9.74545454545455,0.995513763772745
"640","R187086","G102",14.46,9.7,9.74545454545455,0.995513763772745
"641","R187086","G102",14.01,9.3,9.74545454545455,0.995513763772745
"642","R187914","G1202",14.61,9.8,10.1555555555556,1.03740623766285
"643","R187914","G1202",15.3,10.4,10.1555555555556,1.03740623766285
"644","R187914","G1202",15.37,10.6,10.1555555555556,1.03740623766285
"645","R187914","G1202",14.92,10.1,10.1555555555556,1.03740623766285
"646","R187955","G1202",14.99,10.1,10.1555555555556,1.03740623766285
"647","R187955","G1202",14.61,9.8,10.1555555555556,1.03740623766285
"648","R187955","G1202",15.07,10.3,10.1555555555556,1.03740623766285
"649","R187955","G1202",14.92,10.1,10.1555555555556,1.03740623766285
"650","R187955","G1202",14.84,10.2,10.1555555555556,1.03740623766285
"651","R187918","G1302",14.54,9.9,9.82857142857143,1.00400428627827
"652","R187918","G1302",14.99,10,9.82857142857143,1.00400428627827
"653","R187918","G1302",14.54,9.4,9.82857142857143,1.00400428627827
"654","R187925","G1302",14.77,9.8,9.82857142857143,1.00400428627827
"655","R187925","G1302",14.54,9.5,9.82857142857143,1.00400428627827
"656","R187925","G1302",14.92,10.1,9.82857142857143,1.00400428627827
"657","R187925","G1302",14.99,10.1,9.82857142857143,1.00400428627827
"658","R187598","G1602",14.77,9.9,9.725,0.993424299249901
"659","R187598","G1602",15.14,10.6,9.725,0.993424299249901
"660","R187598","G1602",14.54,10.1,9.725,0.993424299249901
"661","R187916","G1602",14.08,9.8,9.725,0.993424299249901
"662","R187916","G1602",13.86,9.4,9.725,0.993424299249901
"663","R187916","G1602",13.48,9,9.725,0.993424299249901
"664","R187916","G1602",13.33,9.4,9.725,0.993424299249901
"665","R187916","G1602",14.01,9.6,9.725,0.993424299249901
"666","R186901","G1702",14.16,9.6,9.7,0.990870509277536
"667","R186901","G1702",14.77,9.8,9.7,0.990870509277536
"668","R187000","G1802",14.01,9.5,9.54285714285714,0.974818115165529
"669","R187000","G1802",14.69,9.9,9.54285714285714,0.974818115165529
"670","R186902","G1802",14.46,9.7,9.54285714285714,0.974818115165529
"671","R186902","G1802",13.78,9.2,9.54285714285714,0.974818115165529
"672","R186902","G1802",13.93,9.4,9.54285714285714,0.974818115165529
"673","R186902","G1802",14.08,9.4,9.54285714285714,0.974818115165529
"674","R186902","G1802",14.16,9.7,9.54285714285714,0.974818115165529
"675","R187513","G1902",14.01,9.4,9.75714285714286,0.996707743500085
"676","R187513","G1902",14.39,9.9,9.75714285714286,0.996707743500085
"677","R187513","G1902",14.61,10,9.75714285714286,0.996707743500085
"678","R187573","G1902",14.46,9.9,9.75714285714286,0.996707743500085
"679","R187573","G1902",14.16,9.7,9.75714285714286,0.996707743500085
"680","R187573","G1902",14.69,9.8,9.75714285714286,0.996707743500085
"681","R187573","G1902",13.93,9.6,9.75714285714286,0.996707743500085
"682","R187930","G2202",13.86,9.7,9.58181818181818,0.978798047589994
"683","R187930","G2202",14.54,10.1,9.58181818181818,0.978798047589994
"684","R187930","G2202",14.08,9.4,9.58181818181818,0.978798047589994
"685","R187930","G2202",13.33,9.1,9.58181818181818,0.978798047589994
"686","R187931","G2202",13.93,10,9.58181818181818,0.978798047589994
"687","R187931","G2202",14.46,9.9,9.58181818181818,0.978798047589994
"688","R187931","G2202",14.46,9.6,9.58181818181818,0.978798047589994
"689","R187931","G2202",13.78,9,9.58181818181818,0.978798047589994
"690","R187931","G2202",14.61,9.6,9.58181818181818,0.978798047589994
"691","R187931","G2202",13.63,9.4,9.58181818181818,0.978798047589994
"692","R187931","G2202",14.92,9.6,9.58181818181818,0.978798047589994
"693","R187926","G402",13.93,9.1,9.78,0.999042637189104
"694","R187926","G402",15.07,10.2,9.78,0.999042637189104
"695","R187926","G402",14.61,10,9.78,0.999042637189104
"696","R187926","G402",14.69,10,9.78,0.999042637189104
"697","R187926","G402",14.24,9.7,9.78,0.999042637189104
"698","R187926","G402",14.08,9.6,9.78,0.999042637189104
"699","R187926","G402",14.54,9.8,9.78,0.999042637189104
"700","R187926","G402",14.61,10,9.78,0.999042637189104
"701","R187926","G402",14.16,9.7,9.78,0.999042637189104
"702","R187926","G402",14.08,9.5,9.78,0.999042637189104
"703","R187926","G402",14.46,10,9.78,0.999042637189104
"704","R187926","G402",14.54,9.7,9.78,0.999042637189104
"705","R187926","G402",14.39,9.6,9.78,0.999042637189104
"706","R187926","G402",14.39,9.8,9.78,0.999042637189104
"707","R187926","G402",14.77,10,9.78,0.999042637189104
"708","R187552","G502",14.01,9.5,9.71666666666667,0.99257303592578
"709","R187552","G502",14.08,9.5,9.71666666666667,0.99257303592578
"710","R187552","G502",14.54,9.7,9.71666666666667,0.99257303592578
"711","R187552","G502",14.24,9.4,9.71666666666667,0.99257303592578
"712","R187571","G502",14.69,9.8,9.71666666666667,0.99257303592578
"713","R187571","G502",14.92,10.4,9.71666666666667,0.99257303592578
"714","R187955","G602",14.84,9.9,10.0818181818182,1.02987384703729
"715","R187955","G602",14.61,9.8,10.0818181818182,1.02987384703729
"716","R187955","G602",14.46,9.9,10.0818181818182,1.02987384703729
"717","R187955","G602",14.84,10.3,10.0818181818182,1.02987384703729
"718","R187955","G602",14.69,10.1,10.0818181818182,1.02987384703729
"719","R187914","G602",14.24,9.6,10.0818181818182,1.02987384703729
"720","R187914","G602",14.92,10.1,10.0818181818182,1.02987384703729
"721","R187914","G602",15.37,10.4,10.0818181818182,1.02987384703729
"722","R187914","G602",15.07,10,10.0818181818182,1.02987384703729
"723","R187914","G602",15.3,10.3,10.0818181818182,1.02987384703729
"724","R187914","G602",15.67,10.5,10.0818181818182,1.02987384703729
"725","R187957","G702",14.39,10,9.92,1.01334386103435
"726","R187957","G702",14.69,10,9.92,1.01334386103435
"727","R187957","G702",14.54,9.9,9.92,1.01334386103435
"728","R187957","G702",14.16,9.5,9.92,1.01334386103435
"729","R187637","G702",14.84,10.2,9.92,1.01334386103435
"730","R187009","H102",14.92,10,9.7875,0.999808774180813
"731","R187001","H102",14.46,10,9.7875,0.999808774180813
"732","R187001","H102",14.39,9.6,9.7875,0.999808774180813
"733","R187001","H102",13.93,9.8,9.7875,0.999808774180813
"734","R187001","H102",14.46,9.6,9.7875,0.999808774180813
"735","R187001","H102",14.24,9.8,9.7875,0.999808774180813
"736","R187001","H102",14.01,9.3,9.7875,0.999808774180813
"737","R187001","H102",14.92,10.2,9.7875,0.999808774180813
"738","Fem20","H1102",13.93,9.4,9.78,0.999042637189104
"739","Fem20","H1102",14.54,9.9,9.78,0.999042637189104
"740","Fem20","H1102",14.77,9.9,9.78,0.999042637189104
"741","Fem20","H1102",14.08,9.4,9.78,0.999042637189104
"742","Fem20","H1102",14.61,9.8,9.78,0.999042637189104
"743","K983388","H1102",14.39,9.7,9.78,0.999042637189104
"744","K983388","H1102",14.24,9.7,9.78,0.999042637189104
"745","K983388","H1102",14.61,10.1,9.78,0.999042637189104
"746","K983388","H1102",14.77,10.1,9.78,0.999042637189104
"747","K983388","H1102",14.61,9.8,9.78,0.999042637189104
"748","K983388","H1302",14.92,9.8,9.78181818181818,0.999228367368912
"749","K983388","H1302",14.54,9.5,9.78181818181818,0.999228367368912
"750","K983388","H1302",14.77,9.9,9.78181818181818,0.999228367368912
"751","K983388","H1302",13.48,8.9,9.78181818181818,0.999228367368912
"752","K983388","H1302",14.54,10.1,9.78181818181818,0.999228367368912
"753","Fem20","H1302",14.77,9.7,9.78181818181818,0.999228367368912
"754","Fem20","H1302",14.39,9.7,9.78181818181818,0.999228367368912
"755","Fem20","H1302",13.25,8.9,9.78181818181818,0.999228367368912
"756","Fem20","H1302",14.77,10.4,9.78181818181818,0.999228367368912
"757","Fem20","H1302",14.69,9.9,9.78181818181818,0.999228367368912
"758","Fem20","H1302",15.45,10.8,9.78181818181818,0.999228367368912
"759","R187637","H1802",14.31,9.8,9.9,1.01130082905645
"760","R187637","H1802",14.61,9.9,9.9,1.01130082905645
"761","R187957","H1802",14.54,9.8,9.9,1.01130082905645
"762","R187957","H1802",14.77,10,9.9,1.01130082905645
"763","R187957","H1802",14.92,10.2,9.9,1.01130082905645
"764","R187957","H1802",14.16,9.7,9.9,1.01130082905645
"765","R186918","H2502",13.86,9.6,9.8,1.001085669167
"766","R186918","H2502",14.31,9.6,9.8,1.001085669167
"767","R186917","H2502",14.61,10.1,9.8,1.001085669167
"768","R186917","H2502",14.31,9.8,9.8,1.001085669167
"769","R186917","H2502",14.31,9.7,9.8,1.001085669167
"770","R186917","H2502",14.61,10.3,9.8,1.001085669167
"771","R186917","H2502",14.92,10.1,9.8,1.001085669167
"772","R186917","H2502",13.33,9.2,9.8,1.001085669167
"773","R187001","H2602",14.69,10,10,1.02151598894591
"774","R187009","H2602",14.69,10,10,1.02151598894591
"775","P322402","H2802",13.86,9.3,9.66666666666667,0.98746545598105
"776","P322402","H2802",14.39,10,9.66666666666667,0.98746545598105
"777","P322402","H2802",14.39,9.8,9.66666666666667,0.98746545598105
"778","R187512","H2802",14.08,9.4,9.66666666666667,0.98746545598105
"779","R187512","H2802",14.16,9.5,9.66666666666667,0.98746545598105
"780","R187512","H2802",14.92,10,9.66666666666667,0.98746545598105
"781","R187936","H3002",14.46,10,9.9,1.01130082905645
"782","R187936","H3002",14.92,10.4,9.9,1.01130082905645
"783","R187920","H3002",14.46,9.5,9.9,1.01130082905645
"784","R187920","H3002",14.92,9.7,9.9,1.01130082905645
"785","R187920","H3002",14.24,9.9,9.9,1.01130082905645
"786","R186911","H302",14.61,9.9,10,1.02151598894591
"787","R186911","H302",15.22,10.3,10,1.02151598894591
"788","R186911","H302",14.61,9.6,10,1.02151598894591
"789","R186911","H302",15.3,10.2,10,1.02151598894591
"790","R187925","H3102",14.54,10.2,9.94,1.01538689301224
"791","R187925","H3102",14.77,9.9,9.94,1.01538689301224
"792","R187925","H3102",14.84,10.2,9.94,1.01538689301224
"793","R187918","H3102",14.61,9.5,9.94,1.01538689301224
"794","R187918","H3102",14.77,9.9,9.94,1.01538689301224
"795","R187595","H3202",13.86,9.3,9.79,1.00006415317805
"796","R187595","H3202",14.46,9.7,9.79,1.00006415317805
"797","R187595","H3202",14.01,9.4,9.79,1.00006415317805
"798","R187595","H3202",14.99,10.3,9.79,1.00006415317805
"799","R187553","H3202",15.07,10.4,9.79,1.00006415317805
"800","R187553","H3202",14.01,9,9.79,1.00006415317805
"801","R187553","H3202",14.46,9.6,9.79,1.00006415317805
"802","R187553","H3202",14.54,9.9,9.79,1.00006415317805
"803","R187553","H3202",15.3,10.5,9.79,1.00006415317805
"804","R187553","H3202",14.54,9.8,9.79,1.00006415317805
"805","R187527","H3602",13.86,9.4,9.77777777777778,0.998815633636005
"806","R187527","H3602",14.77,9.8,9.77777777777778,0.998815633636005
"807","R187527","H3602",13.93,9.2,9.77777777777778,0.998815633636005
"808","R187527","H3602",14.77,9.9,9.77777777777778,0.998815633636005
"809","R187515","H3602",14.35,9.5,9.77777777777778,0.998815633636005
"810","R187515","H3602",15.07,10.3,9.77777777777778,0.998815633636005
"811","R187515","H3602",14.69,10.1,9.77777777777778,0.998815633636005
"812","R187515","H3602",14.54,10,9.77777777777778,0.998815633636005
"813","R187515","H3602",14.39,9.8,9.77777777777778,0.998815633636005
"814","R187086","H502",14.61,9.8,9.76,0.996999605211212
"815","R187086","H502",14.54,9.8,9.76,0.996999605211212
"816","R187086","H502",14.69,9.8,9.76,0.996999605211212
"817","R187086","H502",14.24,9.4,9.76,0.996999605211212
"818","R187086","H502",14.84,10.2,9.76,0.996999605211212
"819","R187535","H502",14.84,9.9,9.76,0.996999605211212
"820","R187535","H502",14.69,9.5,9.76,0.996999605211212
"821","R187535","H502",14.69,10.2,9.76,0.996999605211212
"822","R187535","H502",13.86,9.5,9.76,0.996999605211212
"823","R187535","H502",13.93,9.5,9.76,0.996999605211212
"824","Fem2","H702",14.46,10,9.88,1.00925779707856
"825","Fem2","H702",13.78,9.5,9.88,1.00925779707856
"826","R186903","H702",14.39,9.7,9.88,1.00925779707856
"827","R186903","H702",14.69,10.2,9.88,1.00925779707856
"828","R186903","H702",14.61,10,9.88,1.00925779707856
