"tarsus","back","dam","fosternest","hatchdate","sex","weight","habitat","bill_length","bill_depth"
13.55,551.375705380056,"R187557","F2102",47,"Fem",8.9,"park",10.885,0.597
15.07,549.088417489622,"R187559","F1902",47,"Male",10.5,"forest",12.056,0.682
14.99,550.173924710717,"R187568","A602",47,"Male",9.9,"forest",12,0.673
14.69,550.306701641329,"R187518","A1302",45,"Male",9.7,"forest",11.733,0.639
14.46,549.63916093207,"R187528","A2602",45,"Fem",9.7,"forest",11.565,0.631
13.93,551.86926623202,"R187945","C2302",49,"Fem",9.3,"forest",11.165,0.626
13.93,549.4878107474,"Fem3","C1902",47,"Male",9.3,"park",11.154,0.591
15.45,548.391084907629,"R187030","C1302",46,"Fem",10.2,"forest",12.348,0.675
14.31,550.080977849289,"R187517","C602",44,"Fem",9.5,"park",11.434,0.629
14.46,549.852316998797,"R187523","B2202",46,"Fem",9.6,"forest",11.564,0.609
14.99,547.740314921298,"R186902","B1402",52,"Male",10,"forest",11.977,0.636
14.08,548.9847322361,"R187400","B1002",47,"Fem",9.7,"park",11.251,0.685
14.77,551.192012242328,"R187932","B502",49,"Male",9.9,"park",11.828,0.638
13.63,549.274315922552,"R187582","D1202",48,"Male",9.2,"forest",10.904,0.612
16.81,548.370755932211,"R187545","D1002",47,"Male",11.4,"park",13.399,0.797
14.24,551.192131760433,"R187546","D902",47,"Fem",9.8,"park",11.409,0.679
14.92,551.506561861297,"R187590","D202",49,"Fem",10.1,"forest",11.929,0.7
14.46,549.749385916539,"R187548","E902",48,"Fem",9.6,"park",11.512,0.669
15.37,552.387352038039,"R187594","E302",49,"Male",10.4,"forest",12.259,0.641
13.4,549.009998562049,"R187588","F2402",47,"Fem",8.9,"park",10.674,0.577
14.08,548.551472203959,"R187557","F2102",47,"Fem",9.2,"forest",11.258,0.621
13.93,550.919233480482,"R187559","F1902",47,"Fem",9.6,"forest",11.113,0.638
13.86,548.790027619881,"R187531","F1702",46,"Fem",9,"forest",11.106,0.599
14.92,549.668640034243,"R187592","F1102",47,"Male",10.1,"park",11.899,0.65
15.22,548.843459351014,"R187575","F902",47,"Male",10.4,"park",12.163,0.657
13.63,548.305434777149,"R186912","F102",54,"Male",9.5,"forest",10.866,0.619
14.61,549.316160440119,"R187914","G1202",49,"Fem",9.8,"forest",11.7,0.631
14.84,549.08504135489,"R187955","G602",49,"Fem",9.9,"forest",11.842,0.631
14.31,550.377925363312,"R187535","G102",47,"Male",9.7,"forest",11.45,0.686
14.92,549.434518956114,"K983388","H1302",48,"Male",9.8,"forest",11.929,0.682
13.93,550.011124033894,"Fem20","H1102",48,"Fem",9.4,"forest",11.111,0.567
14.61,549.744518163573,"R187086","H502",47,"Male",9.8,"park",11.639,0.606
14.16,551.455706269698,"R187539","A102",47,"Fem",9.8,"forest",11.273,0.648
14.69,551.564786260463,"R187566","A302",47,"Fem",9.9,"forest",11.774,0.656
14.69,549.041001061419,"R187569","A502",48,"Male",10,"forest",11.729,0.681
14.92,549.331403362807,"R187568","A602",47,"Male",9.7,"forest",11.925,0.64
14.69,549.521818556769,"R187537","A1002",47,"Fem",10,"forest",11.756,0.656
14.77,550.536572491315,"R187518","A1302",45,"Male",10.1,"forest",11.772,0.595
14.24,550.257995537069,"R187916","A1602",49,"Fem",9.5,"forest",11.418,0.612
14.69,549.574110974084,"R186903","A18B02",53,"Male",10.2,"forest",11.782,0.607
14.39,549.779015354851,"R187512","A2202",45,"Fem",10,"forest",11.506,0.622
13.02,554.166169886389,"R187562","A2302",47,"Fem",9,"forest",10.441,0.632
14.61,549.662885787343,"R187528","A2602",45,"Fem",10,"forest",11.737,0.668
14.54,549.690122562734,"R187563","A2702",47,"Male",10,"park",11.597,0.703
14.77,549.696335845551,"R187571","C2602",47,"Male",10.2,"park",11.823,0.662
14.77,548.270585185362,"R187945","C2302",49,"Male",10.1,"park",11.766,0.669
14.54,550.359527892325,"Fem3","C1902",47,"Male",9.5,"forest",11.676,0.623
14.99,547.22471999238,"R187030","C1302",46,"Fem",10,"forest",12.01,0.639
14.61,551.583555005691,"R187517","C602",44,"UNK",9.7,"park",11.696,0.637
14.54,548.696244884884,"R187523","B2202",46,"Fem",9.8,"forest",11.585,0.601
13.93,549.986050623316,"R186902","B1402",52,"Fem",9.3,"forest",11.19,0.589
14.61,549.30291398685,"R187958","B1302",51,"Male",9.7,"park",11.675,0.615
14.69,549.406508610925,"R187953","B902",51,"Fem",10.2,"forest",11.812,0.673
13.93,551.528032452711,"R187932","B502",49,"Male",9.4,"forest",11.18,0.59
14.61,548.933434324113,"R187547","B202",48,"Fem",9.7,"forest",11.687,0.674
14.46,549.276935295428,"R187947","D1302",51,"Male",10.1,"park",11.595,0.657
14.08,550.066978762626,"R187582","D1202",48,"Fem",9.2,"forest",11.215,0.66
15.37,548.395844597428,"R187545","D1002",47,"UNK",10.4,"forest",12.316,0.686
14.69,548.901036733515,"R187546","D902",47,"Fem",9.9,"forest",11.796,0.64
14.54,549.146673223937,"R187239","D802",48,"Male",9.9,"park",11.654,0.585
15.22,551.852015650609,"R187590","D202",49,"Male",9.7,"park",12.15,0.607
14.77,550.039146321595,"R187521","E2002",46,"Fem",9.7,"park",11.798,0.673
14.08,552.028037059128,"R187931","E1902",49,"Male",9.8,"park",11.315,0.636
14.46,549.24423894455,"R187577","E1802",47,"Fem",9.7,"park",11.582,0.65
14.69,548.101642653278,"R187292","E1602",47,"Male",9.9,"forest",11.79,0.629
14.88,549.192104879401,"R187516","E1402",45,"Male",10.2,"forest",11.908,0.656
15.3,550.017983755204,"R187166","E1202",47,"Male",10.6,"park",12.216,0.671
14.08,548.13124121622,"R187579","E1102",47,"Male",9.6,"forest",11.225,0.618
14.46,550.148722802876,"R187548","E902",48,"Male",9.9,"park",11.524,0.619
14.69,547.341540434815,"R187155","E702",47,"Fem",10.2,"forest",11.758,0.627
14.61,551.765431603532,"R187594","E302",49,"Fem",9.8,"park",11.684,0.595
14.46,549.446097250108,"R187588","F2402",47,"Fem",9.7,"park",11.593,0.598
13.71,550.929837631908,"R187557","F2102",47,"Fem",9.3,"park",10.976,0.557
14.61,548.668541758416,"R187559","F1902",47,"Fem",9.8,"forest",11.647,0.62
14.24,551.312655865641,"R187531","F1702",46,"Fem",9.8,"forest",11.396,0.609
14.77,549.143184684388,"R187963","F1502",53,"Fem",9.9,"park",11.801,0.65
15.11,550.338469997384,"R187592","F1102",47,"Male",10.2,"park",12.115,0.666
13.93,547.42167094734,"R187575","F902",47,"Male",9.4,"park",11.178,0.62
14.39,551.132803993018,"Fem5","F202",50,"Fem",9.6,"park",11.513,0.644
13.86,550.015559102853,"R187930","G2202",50,"Male",9.7,"park",11.043,0.597
14.77,551.088496474231,"R187598","G1602",49,"Male",9.9,"park",11.798,0.631
15.3,549.356183962521,"R187914","G1202",49,"Male",10.4,"park",12.243,0.62
14.39,549.582232049999,"R187957","G702",51,"Fem",10,"forest",11.543,0.627
14.61,549.58625728234,"R187955","G602",49,"Fem",9.8,"park",11.699,0.641
14.01,548.669430754065,"R187552","G502",47,"Fem",9.5,"forest",11.174,0.611
14.39,550.797553651339,"R187535","G102",47,"Fem",9.9,"park",11.53,0.621
13.86,549.206579090747,"R187527","H3602",45,"Fem",9.4,"forest",11.053,0.582
13.86,548.938161330634,"R187595","H3202",48,"Fem",9.3,"forest",11.126,0.579
13.86,548.904135232555,"P322402","H2802",45,"Fem",9.3,"park",11.034,0.581
14.54,549.361252232831,"K983388","H1302",48,"Male",9.5,"forest",11.668,0.622
14.54,549.235832565103,"Fem20","H1102",48,"Male",9.9,"forest",11.622,0.665
14.54,548.488479586715,"R187086","H502",47,"Male",9.8,"forest",11.628,0.604
14.08,549.136003424504,"R187539","A102",47,"Male",9.5,"forest",11.26,0.611
14.77,548.526692542857,"R187566","A302",47,"Fem",10.1,"park",11.829,0.676
15.3,550.746057000703,"R187569","A502",48,"Male",10.3,"forest",12.214,0.591
14.24,549.923581792835,"R187568","A602",47,"Fem",9.7,"forest",11.367,0.573
14.77,548.754893396156,"R187537","A1002",47,"Fem",9.8,"forest",11.878,0.681
14.12,548.903055518703,"R187518","A1302",45,"Male",9.4,"forest",11.308,0.601
14.01,550.77623284739,"R187916","A1602",49,"UNK",9.4,"park",11.276,0.595
15.37,549.586830826048,"R187515","A1802",45,"Male",10.5,"park",12.289,0.633
14.46,547.424459693919,"R186903","A18B02",53,"Male",9.6,"forest",11.557,0.598
13.71,551.473965198959,"R187512","A2202",45,"Fem",9.1,"forest",10.975,0.61
13.93,550.982928577049,"R187562","A2302",47,"Male",9.8,"forest",11.122,0.581
14.16,549.360343301482,"R187528","A2602",45,"Fem",9.4,"park",11.378,0.583
14.46,549.771052260142,"R187563","A2702",47,"Male",9.5,"forest",11.538,0.63
15.07,549.253403185512,"R187571","C2602",47,"Male",9.9,"park",12.007,0.669
13.93,549.954259827828,"R187553","C2402",48,"Fem",9.2,"park",11.198,0.611
14.84,550.324208386647,"R187945","C2302",49,"Male",9.8,"forest",11.875,0.654
14.69,550.355323424651,"Fem3","C1902",47,"Male",9.6,"forest",11.738,0.641
15.07,550.416050585727,"R187030","C1302",46,"Fem",10.3,"forest",12.052,0.664
15.22,550.126246798593,"R187517","C602",44,"Fem",10.1,"park",12.206,0.696
13.1,551.030463897562,"R046109","C402",44,"Fem",8.9,"park",10.448,0.587
14.61,549.896728370612,"R187920","C202",50,"Fem",9.9,"forest",11.72,0.68
13.71,549.313171468243,"R186907","C102",53,"Fem",9.5,"park",10.955,0.595
14.77,550.200787675047,"R187541","B2502",47,"Male",10.1,"park",11.798,0.659
13.18,551.261848495728,"R187523","B2202",46,"Male",9.2,"park",10.502,0.577
14.84,550.691177638614,"R187927","B2102",50,"Male",10.2,"forest",11.854,0.672
14.77,551.803144973208,"R187942","B1902",50,"Male",10,"forest",11.828,0.675
14.31,549.362154927694,"R187937","B1802",50,"Male",9.1,"park",11.452,0.579
14.77,547.666509462777,"R187824","B1702",53,"Male",9.8,"park",11.809,0.644
12.57,551.158360251981,"R186908","B1602",53,"Fem",8.6,"park",10.071,0.574
14.69,550.015513772661,"R186902","B1402",52,"Male",9.9,"forest",11.76,0.621
13.93,551.312515478429,"R187958","B1302",51,"UNK",9.3,"park",11.142,0.577
14.77,550.539850106957,"R187944","B1202",51,"Male",9.8,"park",11.783,0.646
15.22,550.727883192305,"R187400","B1002",47,"Male",10.3,"forest",12.131,0.663
14.77,551.869525161512,"R187953","B902",51,"Male",9.7,"park",11.835,0.619
14.46,551.159183017736,"R187932","B502",49,"Fem",9.5,"forest",11.614,0.625
14.46,548.500547784999,"R187547","B202",48,"Fem",9.9,"forest",11.622,0.648
14.08,549.739747610496,"R187947","D1302",51,"Fem",9.5,"forest",11.239,0.601
14.46,550.240384500525,"R187582","D1202",48,"Male",9.8,"park",11.568,0.621
14.16,548.360088632983,"R187964","D1102",53,"Fem",9.7,"forest",11.327,0.592
14.69,550.133122835881,"R187545","D1002",47,"Male",10.1,"park",11.807,0.619
14.77,550.422765593797,"R187546","D902",47,"Fem",10.2,"forest",11.834,0.668
14.61,548.763295651315,"R187239","D802",48,"Male",10,"forest",11.689,0.685
14.54,553.777321978647,"R187940","D402",50,"Fem",10,"forest",11.626,0.639
15.52,551.786325102911,"R187590","D202",49,"Male",10.5,"forest",12.394,0.725
14.31,551.307935639587,"R187524","D102",45,"Male",9.4,"park",11.417,0.632
15.37,549.987901775016,"R187521","E2002",46,"Male",10.1,"forest",12.295,0.747
13.78,550.200031909273,"R187931","E1902",49,"Fem",9.4,"forest",11.039,0.605
15.45,551.062999800964,"R187577","E1802",47,"Male",10.4,"park",12.358,0.682
14.46,550.619435647466,"R188000","E1702",51,"Fem",9.8,"forest",11.538,0.642
14.77,547.179358056567,"R187292","E1602",47,"Fem",10,"forest",11.85,0.694
14.24,552.04271737084,"R187516","E1402",45,"Fem",9.6,"forest",11.332,0.613
14.69,548.998767336171,"R187999","E1302",52,"Fem",9.6,"park",11.725,0.612
14.16,550.566737394341,"R187166","E1202",47,"Male",9.6,"forest",11.292,0.638
14.92,550.173109355062,"R187548","E902",48,"Male",10,"park",11.981,0.646
14.08,551.554241834921,"R187961","E802",52,"Fem",9.7,"forest",11.236,0.571
15.14,547.47765022724,"R187155","E702",47,"Male",10.1,"park",12.075,0.682
14.08,549.529306909572,"R187399","E402",47,"Fem",9.6,"forest",11.25,0.673
14.69,551.26942039192,"R187594","E302",49,"Fem",9.8,"forest",11.775,0.614
14.39,549.326321344039,"R187588","F2402",47,"Male",9.9,"park",11.489,0.662
14.16,550.199949743908,"R187557","F2102",47,"Male",9.7,"forest",11.298,0.685
15.3,549.321527787135,"R187559","F1902",47,"Male",10.3,"forest",12.253,0.635
15.45,552.168004005234,"R187531","F1702",46,"Male",10.4,"forest",12.378,0.669
14.24,548.585289544648,"R187963","F1502",53,"Fem",9.9,"forest",11.396,0.607
14.31,551.460595555304,"R187592","F1102",47,"Fem",9.7,"forest",11.469,0.614
13.93,548.909738588828,"R187575","F902",47,"Fem",9.2,"park",11.086,0.637
14.61,550.286403233715,"Fem5","F202",50,"Fem",9.8,"forest",11.689,0.65
13.4,549.36479514936,"R186912","F102",54,"Male",9.1,"forest",10.734,0.541
14.54,550.447220682614,"R187930","G2202",50,"Male",10.1,"park",11.592,0.644
14.01,551.784299581356,"R187513","G1902",47,"Fem",9.4,"forest",11.216,0.625
15.14,550.36060628809,"R187598","G1602",49,"Male",10.6,"forest",12.116,0.63
14.54,549.890190573804,"R187918","G1302",49,"Fem",9.9,"park",11.612,0.575
14.69,549.371239944922,"R187957","G702",51,"Fem",10,"park",11.77,0.645
14.46,548.504315021366,"R187955","G602",49,"Fem",9.9,"park",11.548,0.629
14.08,549.664836929586,"R187552","G502",47,"Male",9.5,"forest",11.273,0.606
14.01,551.018694652436,"R187535","G102",47,"Male",9.4,"park",11.195,0.601
14.77,550.072091029201,"R187527","H3602",45,"Male",9.8,"forest",11.754,0.665
14.46,549.206702602896,"R187595","H3202",48,"Fem",9.7,"forest",11.548,0.636
14.54,551.220893420381,"R187925","H3102",49,"UNK",10.2,"forest",11.664,0.604
14.46,549.82342410309,"R187936","H3002",50,"Male",10,"forest",11.603,0.607
14.39,549.655346051949,"P322402","H2802",45,"Male",10,"forest",11.491,0.6
14.77,552.063949550582,"K983388","H1302",48,"Male",9.9,"park",11.823,0.673
14.77,549.888983719805,"Fem20","H1102",48,"Fem",9.9,"park",11.859,0.643
14.46,549.650549016841,"Fem2","H702",53,"Fem",10,"forest",11.61,0.645
14.69,548.20060585996,"R187086","H502",47,"Fem",9.8,"park",11.757,0.63
15.14,549.518820973861,"R187539","A102",47,"Male",10.1,"forest",12.093,0.673
15.3,551.577334752634,"R187566","A302",47,"Fem",10.3,"forest",12.223,0.714
14.69,550.662996018443,"R187569","A502",48,"Male",9.7,"forest",11.741,0.666
13.78,550.681122618236,"R187568","A602",47,"Fem",9.3,"park",11.021,0.635
14.92,551.704259211569,"R187537","A1002",47,"Male",9.7,"park",11.965,0.656
14.61,549.263081416465,"R187518","A1302",45,"Male",9.9,"park",11.627,0.632
13.86,549.385050129503,"R187916","A1602",49,"Fem",9.4,"forest",11.074,0.558
13.86,552.120258772262,"R187515","A1802",45,"Fem",9.3,"park",11.115,0.583
14.69,547.270306541643,"R186903","A18B02",53,"Fem",9.9,"park",11.764,0.638
15.37,552.584500650038,"R187512","A2202",45,"Male",10.6,"park",12.3,0.62
13.86,550.228320794235,"R187343","A22B02",48,"Male",9.3,"forest",11.11,0.577
14.61,549.469456961992,"R187562","A2302",47,"Fem",9.8,"park",11.685,0.672
14.84,549.061515644213,"R186911","A2502",53,"Male",9.7,"park",11.908,0.659
14.08,552.762301680916,"R187528","A2602",45,"Fem",9.4,"forest",11.261,0.603
14.61,550.13883925623,"R187563","A2702",47,"Fem",9.8,"park",11.651,0.64
14.08,548.668096174917,"R187571","C2602",47,"Fem",9.4,"park",11.275,0.609
14.54,551.112963525558,"R187553","C2402",48,"Fem",9.9,"park",11.629,0.668
14.77,549.905212401671,"R187945","C2302",49,"Male",9.8,"park",11.807,0.663
14.54,548.832415343504,"Fem3","C1902",47,"Male",10.1,"forest",11.633,0.614
15.52,550.847097559039,"R187030","C1302",46,"Male",10.5,"forest",12.403,0.697
14.61,550.208117120803,"R187517","C602",44,"Fem",9.5,"forest",11.698,0.644
13.33,551.884947900497,"R046109","C402",44,"Fem",9.2,"forest",10.614,0.539
14.77,550.262438690435,"R187920","C202",50,"UNK",9.8,"forest",11.805,0.67
14.16,548.329872235731,"R186907","C102",53,"Fem",9.8,"park",11.313,0.662
15.07,552.228027458123,"R187541","B2502",47,"Male",10.4,"forest",12.043,0.682
14.69,548.860167096165,"R187523","B2202",46,"Fem",10,"forest",11.764,0.614
14.08,549.006101585549,"R187942","B1902",50,"Fem",9.5,"forest",11.315,0.64
15.07,551.772473450239,"R187937","B1802",50,"Male",10.2,"park",12.043,0.657
15.37,550.450996091117,"R187824","B1702",53,"Male",10.5,"forest",12.286,0.633
15.52,551.306041682749,"R186908","B1602",53,"UNK",10.4,"forest",12.391,0.693
13.86,548.747328277878,"R186902","B1402",52,"Fem",9.2,"park",11.069,0.602
14.24,552.285534594522,"R187958","B1302",51,"Fem",9.3,"forest",11.379,0.606
14.69,549.960110582194,"R187944","B1202",51,"Fem",9.7,"park",11.799,0.647
13.55,549.699531792947,"R187902","B1102",54,"UNK",9,"forest",10.85,0.577
14.69,549.567633994479,"R187400","B1002",47,"Male",9.9,"park",11.819,0.678
14.69,552.013551784182,"R187953","B902",51,"UNK",9.9,"forest",11.79,0.676
14.16,550.728979381849,"R187932","B502",49,"Fem",9.5,"park",11.276,0.62
14.46,549.941971791748,"R187547","B202",48,"Fem",10,"park",11.57,0.612
13.71,549.084251235921,"R187947","D1302",51,"Male",9.2,"forest",10.978,0.577
14.24,550.279927168342,"R187582","D1202",48,"Male",9.4,"forest",11.411,0.675
14.61,548.212222100201,"R187964","D1102",53,"Fem",9.8,"forest",11.646,0.657
14.54,548.664711743485,"R187545","D1002",47,"Male",9.5,"forest",11.635,0.591
14.46,551.716425605605,"R187546","D902",47,"UNK",9.6,"park",11.551,0.639
14.46,547.380054065448,"R187239","D802",48,"Fem",9.8,"park",11.561,0.637
15.14,553.33170052949,"R187940","D402",50,"Male",10.3,"forest",12.104,0.645
14.84,548.876744349787,"R187590","D202",49,"Male",9.8,"park",11.894,0.68
14.77,550.070451495512,"R187524","D102",45,"UNK",10.1,"park",11.738,0.691
15.22,551.212780228914,"R187521","E2002",46,"Male",10.4,"forest",12.225,0.635
14.16,550.227279334547,"R187931","E1902",49,"Fem",9.7,"park",11.324,0.542
14.31,548.815075962886,"R187577","E1802",47,"Male",9.5,"forest",11.403,0.696
14.77,550.599769948077,"R188000","E1702",51,"Fem",9.9,"park",11.797,0.649
15.07,548.156552586276,"R187292","E1602",47,"Male",10,"park",12.033,0.68
14.54,551.059056528854,"R187516","E1402",45,"Male",9.9,"park",11.693,0.641
14.77,548.773453503051,"R187999","E1302",52,"Male",9.9,"forest",11.858,0.668
14.69,549.163894363163,"R187166","E1202",47,"Male",9.8,"park",11.755,0.625
14.54,549.4337784886,"R187579","E1102",47,"Fem",9.4,"park",11.618,0.604
14.54,552.024390355816,"R187548","E902",48,"Fem",9.9,"park",11.59,0.637
14.84,550.605438036144,"R187961","E802",52,"UNK",10.2,"forest",11.837,0.636
14.54,548.762635034119,"R187155","E702",47,"Fem",9.7,"forest",11.611,0.632
15.45,549.854565559428,"R187399","E402",47,"Male",10.4,"park",12.35,0.669
14.08,552.29236050476,"R187594","E302",49,"Fem",9.4,"forest",11.308,0.536
14.92,550.420824286168,"R187948","F2702",51,"Male",10.2,"park",11.896,0.658
14.77,549.183647580527,"R187588","F2402",47,"Male",9.9,"park",11.855,0.629
13.4,549.964225140837,"R187557","F2102",47,"Fem",9.1,"forest",10.7,0.598
14.69,548.514335315343,"R187559","F1902",47,"Fem",9.7,"park",11.715,0.713
14.99,548.629762951332,"R187531","F1702",46,"Male",10,"forest",11.957,0.664
15.07,549.581352437894,"R187963","F1502",53,"Fem",9.8,"park",12.045,0.684
14.39,551.669467418171,"R187592","F1102",47,"Fem",9.5,"park",11.518,0.649
13.86,551.925868644591,"R187575","F902",47,"Fem",9.2,"forest",11.066,0.614
14.99,548.701703875138,"Fem5","F202",50,"Male",9.8,"forest",11.989,0.642
14.01,549.196342460149,"R186912","F102",54,"Fem",9.3,"forest",11.233,0.591
14.08,550.733744650994,"R187930","G2202",50,"Male",9.4,"forest",11.258,0.679
14.39,551.342840496483,"R187513","G1902",47,"Fem",9.9,"forest",11.483,0.608
14.01,550.027645927933,"R187000","G1802",52,"UNK",9.5,"forest",11.208,0.637
14.99,551.200947066609,"R187918","G1302",49,"Male",10,"park",11.932,0.641
15.37,548.189080954654,"R187914","G1202",49,"Male",10.6,"park",12.3,0.685
14.54,551.296900636319,"R187957","G702",51,"Fem",9.9,"forest",11.597,0.582
14.84,547.995213821602,"R187955","G602",49,"Fem",10.3,"park",11.919,0.634
14.54,549.814206288677,"R187552","G502",47,"Male",9.7,"park",11.66,0.616
14.61,550.470671081236,"R187535","G102",47,"Male",9.8,"park",11.675,0.636
13.93,549.553816574154,"R187527","H3602",45,"Fem",9.2,"forest",11.194,0.579
14.01,551.571025292936,"R187595","H3202",48,"Male",9.4,"forest",11.195,0.631
14.77,551.21289818345,"R187925","H3102",49,"UNK",9.9,"park",11.839,0.654
14.92,552.194011547449,"R187936","H3002",50,"Male",10.4,"forest",11.934,0.681
14.39,550.372396535438,"P322402","H2802",45,"Fem",9.8,"forest",11.567,0.639
13.86,549.604195167611,"R186918","H2502",55,"Fem",9.6,"park",11.118,0.625
14.31,548.484061823893,"R187637","H1802",51,"Fem",9.8,"park",11.433,0.652
13.48,548.059602867593,"K983388","H1302",48,"Fem",8.9,"forest",10.783,0.62
14.08,551.903453032214,"Fem20","H1102",48,"Male",9.4,"park",11.232,0.591
13.78,548.746763242624,"Fem2","H702",53,"Fem",9.5,"forest",11.061,0.619
14.24,549.613720331604,"R187086","H502",47,"Fem",9.4,"park",11.386,0.609
13.1,549.266140290754,"R187539","A102",47,"Fem",8.8,"forest",10.416,0.573
15.14,550.157753905173,"R187566","A302",47,"Male",10,"forest",12.111,0.695
14.54,550.524941161796,"R187569","A502",48,"Male",9.8,"park",11.637,0.626
14.31,548.421114322534,"R187568","A602",47,"Fem",9.6,"forest",11.423,0.604
14.54,549.478895012571,"R187537","A1002",47,"Male",9.6,"park",11.65,0.633
14.08,550.03549041726,"R187518","A1302",45,"Fem",9.7,"forest",11.185,0.632
13.93,551.863836768331,"R187916","A1602",49,"Fem",9.2,"forest",11.192,0.609
14.54,548.982132596792,"R187515","A1802",45,"Fem",10,"park",11.541,0.668
